Model,Accuracy,F1 score,Precision,Recall,ROC AUC,PR AUC,training time (sec)
RandomForest,0.9995435553526912,0.8631578947368421,0.8913043478260869,0.8367346938775511,0.9518817902794207,0.8613614433206536,214.18
RandomForest SMOTE,0.9995611109160493,0.861878453038674,0.9397590361445783,0.7959183673469388,0.9553217917724208,0.8604811836547945,251.52
RandomForest ADASYN,0.9995611109160493,0.8587570621468926,0.9620253164556962,0.7755102040816326,0.9693495328632298,0.8753492931399325,242.37
XGBoost,0.9996313331694814,0.88268156424581,0.9753086419753086,0.8061224489795918,0.9778156690363258,0.8848245468659314,182.33
XGBoost SMOTE,0.9996137776061234,0.8829787234042553,0.9222222222222223,0.8469387755102041,0.9759634157545967,0.8794884401231561,211.2
XGBoost ADASYN,0.9995611109160493,0.8633879781420765,0.9294117647058824,0.8061224489795918,0.982898688456812,0.8674589094094093,217.76
CatBoost,0.9996313331694814,0.8864864864864865,0.9425287356321839,0.8367346938775511,0.9789817164907605,0.8742603524868553,211.43
CatBoost SMOTE,0.9994733330992591,0.845360824742268,0.8541666666666666,0.8367346938775511,0.977721997634169,0.8613895151824219,213.09
CatBoost ADASYN,0.9994733330992591,0.8421052631578947,0.8695652173913043,0.8163265306122449,0.9777302522021752,0.8481946184155557,231.64
